obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
180, 193.2, 4565, 15088, 2287, 12822, 8341, 17701, 9374, 6644, 77, 34, 0, 76822,  1
181, 194.4, 9081, 19995, 50884, 13542, 8725, 16771, 13227, 10265, 70, 47, 1, 142490,  1
182, 195.3, 2326, 5000, 17728, 4134, 7149, 17042, 13904, 14500, 70, 60, 1, 81783,  1
183, 197.3, 6764, 15838, 14354, 8781, 10665, 9714, 10793, 9653, 66, 57, 1, 86562,  1
184, 198.3, 10205, 7258, 3535, 11169, 11039, 13440, 7969, 8451, 74, 47, 0, 73066,  1
185, 199.3, 7026, 27638, 17233, 15863, 22477, 26930, 18327, 11303, 69, 43, 1, 146797,  1
186, 200.3, 4599, 26310, 13564, 4249, 4910, 12196, 12060, 7454, 70, 38, 1, 85342,  1
187, 201.3, 8596, 6093, 5960, 3738, 18742, 9174, 12957, 8788, 74, 37, 1, 74048,  1
188, 203.3, 5458, 15936, 20826, 6350, 9793, 9467, 12631, 8667, 63, 41, 1, 89128,  1
189, 204.2, 994, 6340, 5639, 9639, 9135, 12055, 17166, 5186, 64, 56, 0, 66154,  1
190, 205.3, 7812, 19381, 7806, 37692, 13001, 7877, 12966, 17584, 51, 69, 0, 124119,  1
191, 206.3, 74902, 14074, 32630, 21814, 10508, 19694, 19693, 14546, 53, 75, 1, 207861,  1
192, 207.3, 14227, 6763, 4332, 17506, 5919, 14323, 14681, 9209, 60, 67, 0, 86960,  1
193, 208.3, 3703, 20599, 9169, 16962, 2507, 11504, 7237, 5525, 51, 70, 0, 77206,  1
194, 209.2, 2479, 13245, 757, 23896, 16840, 20122, 9411, 8022, 64, 63, 0, 94772,  1
195, 210.3, 10474, 13742, 11466, 8705, 15368, 6920, 18980, 10706, 61, 54, 1, 96361,  1
196, 211.3, 42840, 25975, 26048, 12071, 17368, 28246, 22528, 11224, 60, 51, 1, 186300,  1
197, 212.3, 20178, 77025, 14297, 31383, 10552, 12048, 24085, 9154, 51, 47, 0, 198722,  1
198, 213.3, 776418, 20428, 40328, 13133, 8307, 14108, 20582, 16563, 41, 56, 1, 909867,  1
199, 214.2, 24996, 10963, 12063, 32757, 29108, 19429, 20965, 5611, 48, 57, 0, 155892,  1
200, 215.3, 7088, 4674, 3026, 5597, 17611, 21155, 18343, 15972, 60, 50, 0, 93466,  1
201, 216.3, 6580, 6495, 7467, 11451, 5159, 10751, 16723, 10109, 75, 56, 0, 74735,  1
202, 217.2, 6965, 19651, 4285, 9873, 28280, 9139, 6479, 5921, 77, 40, 0, 90593,  1
203, 218.3, 11639, 5098, 34253, 3161, 10309, 15182, 6975, 2995, 77, 47, 1, 89612,  1
204, 219.2, 44214, 25579, 13378, 8281, 11327, 20642, 8676, 5878, 64, 51, 1, 137975,  1
205, 220.1, 317121, 23422, 11115, 13804, 2993, 8879, 11403, 4062, 57, 48, 0, 392799,  1
206, 221.3, 12193, 79990, 10320, 37528, 11210, 12946, 7167, 6603, 50, 54, 0, 177957,  1
207, 222.2, 16161, 25244, 7009, 4192, 10386, 13143, 8838, 5629, 50, 38, 1, 90602,  1
208, 223.3, 8119, 20035, 7983, 25922, 8272, 11877, 10160, 6209, 41, 47, 0, 98577,  1
209, 224.2, 26404, 35351, 5960, 9517, 22468, 8446, 12497, 3343, 41, 37, 0, 123986,  1
210, 226.2, 12190, 14008, 16715, 11877, 15734, 16066, 11744, 10569, 54, 38, 1, 108903,  1
211, 227.2, 36585, 23549, 10042, 20145, 7893, 12852, 11896, 7317, 38, 30, 0, 130279,  1
212, 228.2, 12948, 7195, 10157, 12414, 2448, 13776, 12614, 3228, 47, 44, 0, 74780,  1
213, 229.2, 18067, 15235, 2152, 4456, 10866, 15010, 6393, 3787, 51, 30, 0, 75966,  1
214, 230.2, 2521, 9229, 13494, 15847, 7703, 15818, 5858, 6873, 70, 50, 0, 77343,  1
215, 231.3, 10017, 6720, 7068, 6811, 9377, 23168, 29830, 8148, 84, 43, 1, 101139,  1
216, 232.2, 6820, 13668, 4449, 4831, 23288, 16336, 9812, 10294, 90, 26, 0, 89498,  1
217, 233.1, 13694, 16869, 7426, 3292, 3904, 18683, 12350, 7555, 90, 34, 1, 83773,  1
218, 234.2, 10503, 4815, 16345, 11027, 8000, 6086, 18827, 8386, 81, 37, 1, 83989,  1
219, 235.1, 4353, 27808, 14635, 5798, 7834, 36541, 8636, 4627, 78, 35, 1, 110232,  1
220, 236.2, 11927, 9916, 6137, 3004, 5243, 8928, 5083, 4648, 75, 41, 1, 54886,  1
221, 237.2, 3162, 5180, 3220, 5235, 13750, 11729, 10561, 9333, 75, 43, 0, 62170,  1
222, 238.1, 1051, 13276, 20774, 8040, 13551, 10894, 10165, 8676, 78, 37, 1, 86427,  1
223, 239.2, 4610, 8075, 20750, 17420, 13419, 30800, 10351, 7530, 78, 47, 1, 112955,  1
224, 240.2, 1863, 14678, 10217, 7058, 11587, 6756, 10717, 7294, 70, 50, 1, 70170,  1
225, 241.2, 5147, 18405, 10309, 28945, 5379, 20000, 15051, 9037, 61, 60, 0, 112273,  1
226, 242.2, 8223, 19754, 13642, 5679, 5184, 12908, 8538, 14851, 64, 56, 1, 88779,  1
227, 243.1, 8061, 16586, 3429, 12599, 3368, 7876, 10051, 9567, 54, 53, 0, 71537,  1
228, 244.2, 13175, 33726, 31188, 8468, 6615, 13310, 12727, 9415, 53, 56, 1, 128624,  1
229, 245.2, 41329, 39895, 9522, 17268, 17012, 19205, 12621, 7920, 51, 48, 0, 164772,  1
230, 246.1, 26340, 28372, 2339, 26202, 8614, 10473, 10681, 3951, 47, 50, 0, 116972,  1
