obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
152, 161.9, 26482, 35556, 21303, 22343, 13172, 6320, 9891, 3445, 41, 67, 0, 138512,  2*
153, 163.0, 11423, 9016, 8550, 6811, 5282, 9713, 9709, 5937, 51, 74, 1, 66441,  2*
154, 164.0, 4535, 4672, 7328, 10023, 2059, 9057, 9797, 3269, 53, 83, 0, 50740,  2*
155, 165.0, 148259, 69384, 5215, 18121, 9697, 12174, 11205, 9959, 48, 67, 0, 284014,  2*
156, 166.0, 83355, 19811, 6606, 2015, 3702, 7496, 7628, 3437, 60, 57, 1, 134050,  2*
157, 167.0, 306006, 37044, 7411, 10022, 13967, 5452, 7299, 4546, 44, 50, 0, 391747,  2*
158, 168.9, 9201, 13475, 1854, 3750, 2328, 11236, 5212, 5277, 47, 34, 0, 52333,  2*
159, 169.9, 22808, 27502, 4082, 15311, 6637, 6017, 4549, 6094, 40, 54, 0, 93000,  2*
160, 171.1, 12883, 13955, 2763, 1280, 8724, 8751, 9461, 3638, 56, 44, 1, 61455,  2*
161, 171.9, 11269, 33790, 5767, 4073, 4173, 9397, 12378, 1479, 48, 47, 1, 82326,  2*
162, 174.0, 70952, 47612, 47165, 18886, 8983, 6406, 3570, 2110, 40, 44, 1, 205684,  2*
163, 174.9, 17345, 10597, 9405, 11427, 7324, 11568, 6091, 8928, 47, 53, 0, 82685,  2*
164, 176.0, 3114, 10651, 3885, 1523, 9526, 12753, 7355, 6368, 57, 50, 1, 55175,  2*
165, 177.0, 18652, 21240, 6535, 5356, 8859, 8236, 3971, 8409, 74, 38, 1, 81258,  2*
166, 178.0, 15317, 32364, 860, 4411, 8963, 14827, 11858, 3706, 77, 29, 0, 92306,  2*
167, 178.9, 19166, 17219, 7541, 14683, 18513, 3255, 8360, 5699, 60, 27, 0, 94436,  2*
168, 179.9, 14134, 48551, 12076, 16122, 8325, 7637, 2904, 2344, 38, 38, 0, 112093,  2*
169, 181.0, 5165, 13924, 7724, 4224, 2404, 9000, 2887, 3015, 43, 41, 1, 48343,  2
170, 182.0, 392990, 40340, 8453, 4557, 5445, 10064, 6108, 4166, 35, 50, 1, 472123,  2
171, 182.9, 16472, 21410, 8015, 2716, 11447, 14209, 2957, 3158, 51, 41, 1, 80384,  2
172, 184.0, 68603, 33176, 24411, 782, 17047, 5657, 7872, 4212, 51, 43, 1, 161760,  2
173, 184.9, 21379, 35681, 8829, 19268, 7153, 8790, 4487, 4251, 41, 44, 0, 109838,  2
174, 185.9, 17386, 17267, 13601, 4726, 10784, 9290, 4273, 7617, 47, 51, 1, 84944,  2
175, 186.9, 130640, 38928, 40455, 5761, 32853, 11669, 10617, 3502, 35, 60, 1, 274425,  2
176, 187.8, 52716, 37865, 4979, 15605, 6604, 8746, 6055, 3223, 38, 57, 0, 135793,  2
177, 189.0, 70260, 28542, 18915, 7501, 4563, 6465, 3889, 5829, 37, 60, 1, 145964,  2
178, 189.9, 38586, 52025, 26459, 14263, 8375, 8660, 7422, 8868, 26, 61, 1, 164658,  2
179, 189.9, 18229, 12114, 3565, 7409, 18945, 3660, 5190, 2218, 27, 56, 0, 71330,  2
