obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
144, 157.3, 20187, 28514, 5882, 14066, 10951, 6493, 9152, 2655, 43, 43, 0, 97900,  2*
145, 158.3, 14738, 10379, 3044, 5825, 3327, 6054, 8604, 7007, 47, 43, 0, 58978,  2*
146, 159.4, 5008, 13388, 12779, 3539, 16915, 12242, 10131, 4533, 63, 34, 1, 78535,  2*
147, 160.3, 10159, 46688, 39561, 7312, 4168, 5662, 6687, 9560, 56, 48, 1, 129797,  2*
148, 161.2, 7990, 9408, 10952, 5540, 3193, 7332, 6214, 5786, 64, 57, 1, 56415,  2*
149, 162.3, 52533, 43073, 52257, 16646, 1938, 8076, 4964, 2750, 50, 70, 1, 182237,  2*
150, 163.3, 21921, 15108, 13144, 7475, 12697, 5768, 6563, 7163, 40, 77, 1, 89839,  2*
151, 164.4, 13795, 43548, 14930, 14780, 10127, 14271, 3904, 2716, 51, 67, 1, 118071,  2*
152, 165.3, 21738, 37135, 28978, 14139, 4937, 7869, 5129, 3436, 40, 67, 1, 123361,  2*
153, 167.3, 12040, 10770, 20109, 2045, 5298, 5676, 7041, 2891, 50, 63, 1, 65870,  2*
154, 168.3, 7635, 13056, 8676, 12371, 3352, 6284, 6115, 2443, 41, 64, 0, 59932,  2*
155, 169.3, 17509, 62287, 15423, 25961, 11148, 2787, 7234, 5873, 26, 60, 0, 148222,  2*
156, 170.3, 178394, 79728, 22121, 4654, 5026, 13193, 4451, 6203, 23, 44, 1, 313770,  2*
157, 171.2, 30637, 38286, 8077, 9138, 8623, 14175, 7485, 7305, 35, 44, 0, 123726,  2*
158, 173.3, 662598, 63946, 10151, 8691, 9129, 11367, 11225, 7998, 30, 27, 1, 785105,  2*
159, 174.2, 12257, 26139, 7909, 12249, 16305, 11697, 6741, 13188, 51, 40, 0, 106485,  2*
160, 175.3, 33092, 23463, 722, 3690, 16883, 11312, 8454, 4890, 56, 24, 0, 102506,  2*
161, 176.2, 23921, 13233, 5872, 22612, 7911, 8584, 3454, 4957, 61, 41, 0, 90544,  2*
162, 177.3, 22525, 26352, 79901, 24519, 22414, 7618, 9350, 4278, 60, 47, 1, 196957,  2*
163, 178.3, 33795, 41120, 2707, 2343, 18748, 14129, 4990, 3462, 61, 29, 1, 121294,  2*
164, 179.2, 154430, 37334, 8109, 5411, 18684, 24246, 19887, 11928, 61, 41, 1, 280029,  2*
165, 180.3, 9650, 5647, 7608, 5189, 8275, 4422, 8716, 8632, 63, 40, 1, 58139,  2
166, 181.3, 11429, 19436, 13040, 2174, 11279, 5047, 6980, 4260, 70, 24, 1, 73645,  2
167, 182.3, 8365, 4674, 14044, 11876, 4564, 7313, 3409, 13550, 69, 57, 1, 67795,  2
168, 183.2, 7365, 16020, 6849, 7854, 3790, 5828, 2551, 4189, 60, 70, 0, 54446,  2
169, 184.3, 1953, 8394, 11034, 3146, 4496, 6477, 13378, 2443, 61, 70, 1, 51321,  2
170, 185.3, 244292, 40305, 8464, 15780, 3529, 7906, 3918, 2089, 60, 70, 0, 326283,  2
171, 186.2, 34226, 16802, 2441, 4109, 4221, 1468, 3204, 392, 44, 54, 0, 66863,  2
172, 187.2, 44947, 39956, 9521, 9584, 7848, 7069, 7187, 2158, 41, 50, 0, 128270,  2
173, 187.2, 31654, 65479, 16146, 6434, 13984, 7014, 6266, 3397, 27, 38, 1, 150374,  2
