obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
157, 166.4, 195114, 37828, 76920, 8757, 11827, 7510, 9715, 8513, 70, 51, 1, 356184,  1*
158, 168.4, 18783, 23875, 19339, 24342, 8227, 17749, 12215, 15807, 69, 64, 0, 140337,  1*
159, 169.4, 7148, 9864, 7406, 8429, 8176, 12855, 16786, 8673, 77, 64, 0, 79337,  1*
160, 170.5, 19642, 25718, 5972, 16690, 10876, 18286, 6737, 7505, 96, 51, 0, 111426,  1*
161, 171.4, 44006, 13569, 26851, 9958, 19141, 14237, 5489, 4104, 96, 50, 1, 137355,  1*
162, 172.5, 16194, 26040, 12945, 2679, 6212, 5674, 5717, 2519, 83, 50, 1, 77980,  1*
163, 173.5, 34093, 33728, 1461, 7740, 18182, 12678, 5051, 15818, 77, 37, 0, 128751,  1*
164, 174.4, 192581, 16049, 4358, 5201, 2574, 1844, 3310, 2771, 60, 38, 0, 228688,  1*
165, 175.5, 18359, 11069, 9938, 15604, 8158, 5060, 15014, 8607, 53, 41, 0, 91809,  1*
166, 176.4, 5940, 14475, 16582, 3195, 13792, 4158, 5852, 2646, 53, 44, 1, 66640,  1*
167, 177.5, 4645, 32064, 7461, 10534, 1674, 4238, 3099, 4569, 41, 56, 0, 68284,  1*
168, 178.4, 7269, 11163, 14538, 26775, 6429, 10865, 4229, 2641, 51, 67, 0, 83909,  1*
169, 179.4, 19124, 7362, 4634, 11025, 6672, 11190, 5601, 2265, 63, 63, 0, 67873,  1*
170, 180.4, 298601, 136862, 32028, 17399, 2861, 7050, 8150, 6323, 51, 57, 1, 509274,  1
171, 181.4, 35345, 15707, 4112, 4849, 3170, 6280, 2615, 1893, 61, 54, 0, 73971,  1
172, 182.4, 10973, 9401, 8851, 20653, 11882, 6175, 6555, 6154, 57, 51, 0, 80644,  1
173, 183.5, 46292, 24970, 16748, 24237, 31781, 33765, 6036, 2772, 60, 48, 0, 186601,  1
174, 184.4, 376631, 44592, 21269, 11808, 11620, 7469, 3919, 1779, 69, 53, 1, 479087,  1
175, 184.4, 19943, 39588, 34300, 19829, 3596, 12930, 3767, 5019, 63, 63, 1, 138972,  1
